Dossier: 123456789,,,,,,,,,,,,,,,
Intestatario: ROSSI MARIO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Titoli e operazioni,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Operazione,Data valuta,Descrizione,Titolo,Isin,Segno,Quantita,Divisa,Prezzo,Cambio,Controvalore,Commissioni Fondi Sw/Ingr/Uscita,Commissioni Fondi Banca Corrispondente,Spese Fondi Sgr,Commissioni amministrato
15/01/2024,17/01/2024,Compravendita titoli,ISHARES MSCI WORLD ACC,IE00B4L5Y983,A,5,EUR,105.71,,528.55,,,,2.95
15/01/2024,17/01/2024,Compravendita titoli,ISHARES CORE MSCI EM IMI,IE00BKM4GZ66,A,10,EUR,33.05,,330.50,,,,2.95
15/03/2024,19/03/2024,Compravendita titoli,ISHARES CORE MSCI EM IMI,IE00BKM4GZ66,V,4,EUR,34.20,,136.80,,,,2.95
20/02/2024,22/02/2024,Compravendita titoli,APPLE INC,US0378331005,A,2,USD,178.50,1.0850,329.03,,,,12.95
15/05/2024,17/05/2024,Compravendita titoli,APPLE INC,US0378331005,V,1,USD,192.30,1.0920,176.10,,,,12.95
10/01/2024,12/01/2024,Compravendita titoli,BTP VALORE SC MZ30,IT0005583478,A,2000,EUR,99.50,,1990.00,,,,5.00
01/02/2024,03/02/2024,Compravendita titoli,ETF COVERED BOND ISH,IE00B3B8Q275,A,3,EUR,143.68,,431.04,,,,
15/06/2024,17/06/2024,Dividendo,ISHARES JPMORGAN EM BOND,IE00B2NPKV68,,,EUR,,,20.95,,,,
15/08/2024,17/08/2024,Dividendo,APPLE INC,US0378331005,,,USD,,1.0850,4.23,,,,
01/06/2024,03/06/2024,Stacco Cedole,BTP VALORE SC MZ30,IT0005583478,,,EUR,,,24.38,,,,
20/07/2024,20/07/2024,Aumento capitale,ISHARES CORE MSCI EM IMI,IE00BKM4GZ66, ,6,EUR,0.00000,1.00000,0.00,,,,
19/06/2024,19/06/2024,Aumento capitale,ISHARES MSCI WORLD ACC,IE00B4L5Y983, ,3,EUR,5.02600,1.00000,15.08,,,,
01/09/2024,03/09/2024,Rimborso,BTP VALORE SC MZ30,IT0005583478, ,2000,EUR,100.00000,1.00000,2000.00,,,,
13/10/2024,13/10/2024,Rimborso,APPLE INC,US0378331005, ,5,USD,95.00000,1.05380,450.81,,,,
